학수번호,강의시간,강의실
LCS1901-003,"금13,14,15,16,17,18",60주년-108
GEB1117-036,"셀0(웹강의) /월1,2,3",60주년-101
GEB1117-037,"셀0(웹강의) /월1,2,3",60주년-106
GEB1117-038,"셀0(웹강의) /월1,2,3",60주년-108
GEB1119-001,"화4,5,6,7",60주년-108
GEB1119-002,"화9,10,11,12",60주년-108
GEB1119-003,"화4,5,6,7",60주년-201
GEB1119-004,"화9,10,11,12",60주년-201
ECS1901-001,"셀0(웹강의) /수17,18,19,20",60주년-809
ECS1901-002,"셀0(웹강의) /목17,18,19,20",60주년-809
LCS1901-004,"금13,14,15,16,17,18",60주년-106
LCS1901-006,"목1,2,3,4,5,6",60주년-611
LCS1901-007,"수1,2,3,4,5,6",60주년-509
LCS1901-008,"수1,2,3,4,5,6",60주년-710
GEB1109-009,"화4,5,6,목4,5,6",60주년-706
GEE3027-001,"월1,2,3,수1,2,3",60주년-701
GEE3027-002,"월7,8,9,수7,8,9",60주년-506
GEE3027-003,"월10,11,12,수10,11,12",60주년-506
GEE3028-001,"화1,2,3,목1,2,3",60주년-608
GEE3028-002,"화4,5,6,목4,5,6",60주년-608
GED1003-001,"화1,2,3,4,5,6",60주년-140
GED1003-002,"월10,11,12,수10,11,12",60주년-508
GED1004-001,"화10,11,12,목10,11,12",60주년-609
GED1007-003,"화4,5,6,목4,5,6",60주년-502
GED1007-004,"월4,5,6,수4,5,6",60주년-610
GED1012-001,"월1,2,3,4,5,6",60주년-508
GED1015-001,"화1,2,3,4,5,6",60주년-607
GED1017-001,"화16,17,18,목16,17,18",60주년-508
GED2011-001,"화10,11,12,목10,11,12",60주년-605
GED2013-001,"월4,5,6,수4,5,6",60주년-605
GED2018-001,"월7,8,9,수7,8,9",60주년-509
GED2018-002,"월10,11,12,수10,11,12",60주년-611
GED3020-001,"월4,5,6,수4,5,6",60주년-609
GED3022-001,"화16,17,18,목16,17,18",60주년-609
GED4002-001,"월10,11,12,수10,11,12",60주년-610
GED4008-001,"수13,14,15,16,17,18",60주년-610
GED4011-001,"화10,11,12,목10,11,12",60주년-712
GED4011-002,"화13,14,15,목13,14,15",60주년-711
GED1002-001,"수1,2,3,4,5,6",60주년-612
GED1002-002,"수13,14,15,16,17,18",60주년-612
GED1002-003,"금10,11,12,13,14,15",60주년-612
GED1002-004,"목1,2,3,4,5,6",60주년-710
GED1002-005,"금1,2,3,4,5,6",60주년-710
GED1002-006,"금13,14,15,16,17,18",60주년-710
GED1002-007,"수4,5,6,7,8,9",60주년-611
GED1002-008,"수13,14,15,16,17,18",60주년-611
GED1002-009,"월1,2,3,4,5,6",60주년-510
GED1002-010,"월13,14,15,16,17,18",60주년-509
GED1002-011,"금1,2,3,4,5,6",60주년-612
GEF1103-002,"화1,2,3,4,5,6",60주년-609
GEF1104-002,"월4,5,6,수4,5,6",60주년-511
GEF1105-002,"월10,11,12,수10,11,12",60주년-608
GEF1105-003,"수13,14,15,16,17,18",60주년-607
GEF1105-004,"금1,2,3,4,5,6",60주년-607
GEF1106-001,"금10,11,12,13,14,15",60주년-607
GEF1106-002,"월10,11,12,수10,11,12",60주년-607
GEF1106-003,"월4,5,6,수4,5,6",60주년-608
GEF1106-004,"월7,8,9,수7,8,9",60주년-608
